Dokumentnummer|Dokumenttype (kode)|Dokumenttype|Dokument versjonsnummer|Dokument salgsdato|Dokument versjonstidspunkt|Salgslag ID|Salgslag (kode)|Salgslag|Mottakernasjonalitet (kode)|Mottakernasjonalitet|Mottaksstasjon|Landingskommune (kode)|Landingskommune|Landingsfylke (kode)|Landingsfylke|Landingsnasjon (kode)|Landingsnasjon|Produksjonsanlegg|Produksjonskommune (kode)|Produksjonskommune|Fiskerkommune (kode)|Fiskerkommune|Fiskernasjonalitet (kode)|Fiskernasjonalitet|Fartøynavn|Fartøy ID|Registreringsmerke (seddel)|Radiokallesignal (seddel)|Største lengde|Lengdegruppe (kode)|Lengdegruppe|Bruttotonnasje 1969|Bruttotonnasje annen|Byggeår|Ombyggingsår|Motorkraft|Motorbyggeår|Fartøy gjelder fra dato|Fartøy gjelder til dato|Fartøytype (kode)|Fartøytype|Kvotefartøy reg.merke|Fartøykommune (kode)|Fartøykommune|Fartøyfylke (kode)|Fartøyfylke|Fartøynasjonalitet (kode)|Fartøynasjonalitet|Mottakende fartøy reg.merke|Mottakende fartøy rkal|Mottakende fartøytype (kode)|Mottakende fart.type|Mottakende fartøynasj. (kode)|Mottakende fart.nasj|Fangstår|Siste fangstdato|Kvotetype (kode)|Kvotetype|Redskap (kode)|Redskap|Redskap - hovedgruppe (kode)|Redskap - hovedgruppe|Fangstfelt (kode)|Kyst/hav (kode)|Hovedområde (kode)|Hovedområde|Lokasjon (kode)|Sone (kode)|Sone|Områdegruppering|Hovedområde FAO (kode)|Hovedområde FAO|Nord/sør for 62 grader nord|Fangstdagbok (nummer)|Fangstdagbok (turnummer)|Landingsdato|Landingsklokkeslett|Dellanding (signal)|Neste mottaksstasjon|Forrige mottakstasjon|Linjenummer|Art - FDIR (kode)|Art - FDIR|Art - gruppe (kode)|Art - gruppe|Art - hovedgruppe (kode)|Art - hovedgruppe|Art FAO (kode)|Art FAO|Produkttilstand (kode)|Produkttilstand|Konserveringsmåte (kode)|Konserveringsmåte|Landingsmåte (kode)|Landingsmåte|Kvalitet (kode)|Kvalitet|Størrelsesgruppering (kode)|Anvendelse (kode)|Anvendelse|Anvendelse hovedgruppe (kode)|Anvendelse hovedgruppe|Antall stykk|Bruttovekt|Produktvekt|Rundvekt
1553207|0|Sluttseddeldokument|3|03.11.2018|19.11.2018 11:20:04.874|951206091|8|Norges Sildesalgslag|NOR|NORGE|100081|1804|BODØ|18|Nordland|NOR|NORGE||||1845|SØRFOLD|NOR|NORGE|FRØKNA|1996005032|N 0006SF|LK5707|14,99|2|11-14,99 m||25|1995||311|1995|01.01.2018|03.10.2019 01:00:33|01|Fiskefartøy|N 0006SF|1845|SØRFOLD|18|Nordland|NOR|NORGE|||||||2018|03.11.2018|01|Vanlig kvote|11|Snurpenot/ringnot|||80053|8|00|Vestfjorden (Lofoten)|53|NOR|Norges økonomiske sone|ICES-underavsnitt IIa2|27|Nordøstlige Atlanterhav|Nord for 62°N|0|0|03.11.2018|15:06:00|0|||1|061101|Norsk vårgytende sild|||||HER|Sild|110|Rund|11|Rsw|3|tank / båt|99|Uspesifisert|3000000|800|Mel og olje|2|Mel og olje|0|24707|24707|24707
1553207|0|Sluttseddeldokument|3|03.11.2018|19.11.2018 11:20:04.874|951206091|8|Norges Sildesalgslag|NOR|NORGE|100081|1804|BODØ|18|Nordland|NOR|NORGE||||1845|SØRFOLD|NOR|NORGE|FRØKNA|1996005032|N 0006SF|LK5707|14,99|2|11-14,99 m||25|1995||311|1995|01.01.2018|03.10.2019 01:00:33|01|Fiskefartøy|N 0006SF|1845|SØRFOLD|18|Nordland|NOR|NORGE|||||||2018|03.11.2018|01|Vanlig kvote|11|Snurpenot/ringnot|||80053|8|00|Vestfjorden (Lofoten)|53|NOR|Norges økonomiske sone|ICES-underavsnitt IIa2|27|Nordøstlige Atlanterhav|Nord for 62°N|0|0|03.11.2018|15:06:00|0|||1|061101|Norsk vårgytende sild|||||HER|Sild|110|Rund|11|Rsw|3|tank / båt|99|Uspesifisert|3000000|800|Mel og olje|2|Mel og olje|0|2707|2707|2707
1547205|0|Sluttseddeldokument|4|17.02.2018|23.02.2018 09:10:00.443|951206091|8|Norges Sildesalgslag|NOR|NORGE|100081|1804|BODØ|18|Nordland|NOR|NORGE||||1130|STRAND|NOR|NORGE|VIKINGBANK|2000013274|R 0003K|LLAS|61,75|5|28 m og over|1190||2000||3750|1999|01.01.2018|03.10.2019 01:00:33|01|Fiskefartøy|R 0003K|1149|KARMØY|11|Rogaland|NOR|NORGE|||||||2018|15.02.2018|03|Skolekvote|11|Snurpenot/ringnot|||01205|0|12|Nordkappbanken|05|NOR|Norges økonomiske sone|ICES-underavsnitt IIa2|27|Nordøstlige Atlanterhav|Nord for 62°N|0|0|17.02.2018|05:15:00|0|||1|075101|Barentshavslodde|||||CAP|Lodde|110|Rund|11|Rsw|3|tank / båt|99|Uspesifisert|3000000|800|Mel og olje|2|Mel og olje|0|18600|18600|18600
1547555|0|Sluttseddeldokument|3|01.03.2018|12.03.2018 09:16:04.706|951206091|8|Norges Sildesalgslag|NOR|NORGE|100081|1804|BODØ|18|Nordland|NOR|NORGE||||1545|MIDSUND|NOR|NORGE|NYBO|1998004150|M 0056MD|LJBD|78,39|5|28 m og over|2148||1998|2007|3675|1997|01.01.2018|03.10.2019 01:00:33|01|Fiskefartøy|M 0056MD|1545|MIDSUND|15|Møre og Romsdal|NOR|NORGE|||||||2018|01.03.2018|01|Vanlig kvote|11|Snurpenot/ringnot|||00410|0|04|Vest-Finnmark|10|NOR|Norges økonomiske sone|ICES-underavsnitt IIa2|27|Nordøstlige Atlanterhav|Nord for 62°N|0|0|01.03.2018|12:55:00|0|||1|075101|Barentshavslodde|||||CAP|Lodde|811|Faks|11|Rsw|3|tank / båt|99|Uspesifisert|3000000|800|Mel og olje|2|Mel og olje|0|303313|303313|0
1547555|0|Sluttseddeldokument|3|01.03.2018|12.03.2018 09:16:04.706|951206091|8|Norges Sildesalgslag|NOR|NORGE|100081|1804|BODØ|18|Nordland|NOR|NORGE||||1545|MIDSUND|NOR|NORGE|NYBO|1998004150|M 0056MD|LJBD|78,39|5|28 m og over|2148||1998|2007|3675|1997|01.01.2018|03.10.2019 01:00:33|01|Fiskefartøy|M 0056MD|1545|MIDSUND|15|Møre og Romsdal|NOR|NORGE|||||||2018|01.03.2018|01|Vanlig kvote|11|Snurpenot/ringnot|||00410|0|04|Vest-Finnmark|10|NOR|Norges økonomiske sone|ICES-underavsnitt IIa2|27|Nordøstlige Atlanterhav|Nord for 62°N|0|0|01.03.2018|12:55:00|0|||2|061101|Norsk vårgytende sild|||||HER|Sild|110|Rund|11|Rsw|3|tank / båt|99|Uspesifisert|3000000|800|Mel og olje|2|Mel og olje|0|843|843|843
1553260|0|Sluttseddeldokument|3|06.11.2018|20.11.2018 07:38:02.900|951206091|8|Norges Sildesalgslag|NOR|NORGE|100081|1804|BODØ|18|Nordland|NOR|NORGE||||1845|SØRFOLD|NOR|NORGE|FRØKNA|1996005032|N 0006SF|LK5707|14,99|2|11-14,99 m||25|1995||311|1995|01.01.2018|03.10.2019 01:00:33|01|Fiskefartøy|N 0006SF|1845|SØRFOLD|18|Nordland|NOR|NORGE|||||||2018|06.11.2018|01|Vanlig kvote|11|Snurpenot/ringnot|||80053|8|00|Vestfjorden (Lofoten)|53|NOR|Norges økonomiske sone|ICES-underavsnitt IIa2|27|Nordøstlige Atlanterhav|Nord for 62°N|0|0|06.11.2018|11:08:00|0|||1|061101|Norsk vårgytende sild|||||HER|Sild|110|Rund|11|Rsw|3|tank / båt|99|Uspesifisert|3000000|800|Mel og olje|2|Mel og olje|0|23000|23000|23000
1547651|0|Sluttseddeldokument|2|05.03.2018|12.03.2018 09:20:07.714|951206091|8|Norges Sildesalgslag|NOR|NORGE|100081|1804|BODØ|18|Nordland|NOR|NORGE||||1834|LURØY|NOR|NORGE|LURØYBAS|1989011075|N 0114L|JWVR|27,4|4|21-27,99 m|227|184|1985|1996|870|1998|01.01.2018|03.10.2019 01:00:33|01|Fiskefartøy|N 0114L|1834|LURØY|18|Nordland|NOR|NORGE|||||||2018|03.03.2018|01|Vanlig kvote|11|Snurpenot/ringnot|||00409|0|04|Vest-Finnmark|09|NOR|Norges økonomiske sone|ICES-underavsnitt IIa2|27|Nordøstlige Atlanterhav|Nord for 62°N|0|0|05.03.2018|22:01:00|0|||1|075101|Barentshavslodde|||||CAP|Lodde|110|Rund|11|Rsw|3|tank / båt|99|Uspesifisert|3000000|800|Mel og olje|2|Mel og olje|0|150004|150004|150004
1547652|0|Sluttseddeldokument|3|05.03.2018|12.03.2018 09:22:00.459|951206091|8|Norges Sildesalgslag|NOR|NORGE|100081|1804|BODØ|18|Nordland|NOR|NORGE||||1224|KVINNHERAD|NOR|NORGE|TUNFISK|2002018201|H 0180K|LLWG|36,9|5|28 m og over|424||2002|2005|1300|2002|01.01.2018|03.10.2019 01:00:33|01|Fiskefartøy|H 0180K|1224|KVINNHERAD|12|Hordaland|NOR|NORGE|||||||2018|03.03.2018|01|Vanlig kvote|11|Snurpenot/ringnot|||00410|0|04|Vest-Finnmark|10|NOR|Norges økonomiske sone|ICES-underavsnitt IIa2|27|Nordøstlige Atlanterhav|Nord for 62°N|201099|999|05.03.2018|18:57:00|0|||1|075101|Barentshavslodde|||||CAP|Lodde|110|Rund|11|Rsw|3|tank / båt|99|Uspesifisert|3000000|800|Mel og olje|2|Mel og olje|0|297651|297651|297651
1547621|0|Sluttseddeldokument|2|05.03.2018|12.03.2018 09:20:05.761|951206091|8|Norges Sildesalgslag|NOR|NORGE|100081|1804|BODØ|18|Nordland|NOR|NORGE||||1224|KVINNHERAD|NOR|NORGE|BENJACO|1985007410|H 0051K|LNYZ|27,43|4|21-27,99 m|278||1985|1994|1075|1994|01.01.2018|03.10.2019 01:00:33|01|Fiskefartøy|H 0051K|1224|KVINNHERAD|12|Hordaland|NOR|NORGE|||||||2018|03.03.2018|01|Vanlig kvote|11|Snurpenot/ringnot|||00409|0|04|Vest-Finnmark|09|NOR|Norges økonomiske sone|ICES-underavsnitt IIa2|27|Nordøstlige Atlanterhav|Nord for 62°N|0|0|05.03.2018|12:54:00|0|||1|075101|Barentshavslodde|||||CAP|Lodde|110|Rund|11|Rsw|3|tank / båt|99|Uspesifisert|3000000|800|Mel og olje|2|Mel og olje|0|203517|203517|203517
1547490|0|Sluttseddeldokument|3|27.02.2018|05.03.2018 09:16:07.718|951206091|8|Norges Sildesalgslag|NOR|NORGE|100081|1804|BODØ|18|Nordland|NOR|NORGE||||1412|SOLUND|NOR|NORGE|SJONGLØR|1997000204|SF0051SU|LFEP|19,2|3|15-20,99 m||41|1954|1984|320|1998|01.01.2018|03.10.2019 01:00:33|01|Fiskefartøy|SF0051SU|1412|SOLUND|14|Sogn og Fjordane|NOR|NORGE|||||||2018|26.02.2018|01|Vanlig kvote|11|Snurpenot/ringnot|||00535|0|05|Røstbanken til Malangsgrunnen|35|NOR|Norges økonomiske sone|ICES-underavsnitt IIa2|27|Nordøstlige Atlanterhav|Nord for 62°N|201099|999|27.02.2018|21:50:00|0|||1|075101|Barentshavslodde|||||CAP|Lodde|110|Rund|9|Iset|3|tank / båt|99|Uspesifisert|3000000|800|Mel og olje|2|Mel og olje|0|28572|28572|28572
