Stratum	N	n	SelectionMethod	FrameDescription	Order	SamplingUnitId	InclusionProbability	SelectionProbability	RelativeSelectionProbability	SelectionDescription
Nordsjo	811	110	Poisson	Sild2022		38401	0.213196915139625	0.00217741935483871	0.00217741935483871	
Nordsjo	811	110	Poisson	Sild2022		38433	0.247412405326388	0.00258064516129032	0.00258064516129032	
Nordsjo	811	110	Poisson	Sild2022		38440	0.1700984890555	0.00169354838709677	0.00169354838709677	
Nordsjo	811	110	Poisson	Sild2022		38445	0.108975250145035	0.00104838709677419	0.00104838709677419	
Nordsjo	811	110	Poisson	Sild2022		38438	0.641175307024414	0.0092741935483871	0.0092741935483871	
Nordsjo	811	110	Poisson	Sild2022		38441	0.233906828422691	0.00241935483870968	0.00241935483870968	
Nordsjo	811	110	Poisson	Sild2022		38448	0.267229615158194	0.00282258064516129	0.00282258064516129	
Nordsjo	811	110	Poisson	Sild2022		38403	0.0767615148687669	0.000725806451612903	0.000725806451612903	
Nordsjo	811	110	Poisson	Sild2022		38435	0.143125007547176	0.00140322580645161	0.00140322580645161	
Nordsjo	811	110	Poisson	Sild2022		38436	0.147680162555427	0.00145161290322581	0.00145161290322581	
Nordsjo	811	110	Poisson	Sild2022		38443	0.0182839435244132	0.000167741935483871	0.000167741935483871	
Nordsjo	811	110	Poisson	Sild2022		38446	0.267229615158194	0.00282258064516129	0.00282258064516129	
Nordsjo	811	110	Poisson	Sild2022		38447	0.247412405326388	0.00258064516129032	0.00258064516129032	
Nordsjo	811	110	Poisson	Sild2022		38402	0.108975250145035	0.00104838709677419	0.00104838709677419	
Nordsjo	811	110	Poisson	Sild2022		38434	0.220161129326957	0.00225806451612903	0.00225806451612903	
Nordsjo	811	110	Poisson	Sild2022		38442	0.068529393639208	0.000645161290322581	0.000645161290322581	
Nordsjo	811	110	Poisson	Sild2022		38444	0.147680162555427	0.00145161290322581	0.00145161290322581	
Nordsjo	811	110	Poisson	Sild2022		38437	0.147680162555427	0.00145161290322581	0.00145161290322581	
Nordsjo	811	110	Poisson	Sild2022		38439	0.311481476435603	0.00338709677419355	0.00338709677419355	
Nordsjo	811	110	Poisson	Sild2022		38431	0.0889747087440887	0.000846774193548387	0.000846774193548387	
Nordsjo	811	110	Poisson	Sild2022		38415	0.136247006433322	0.00133064516129032	0.00133064516129032	
Nordsjo	811	110	Poisson	Sild2022		38406	0.097027756531011	0.00092741935483871	0.00092741935483871	
Nordsjo	811	110	Poisson	Sild2022		38417	0.101027788104015	0.000967741935483871	0.000967741935483871	
Nordsjo	811	110	Poisson	Sild2022		38419	0.0849215381190344	0.000806451612903226	0.000806451612903226	
Nordsjo	811	110	Poisson	Sild2022		38408	0.184718409696934	0.00185483870967742	0.00185483870967742	
Nordsjo	811	110	Poisson	Sild2022		38412	0.216686691440281	0.00221774193548387	0.00221774193548387	
Nordsjo	811	110	Poisson	Sild2022		38422	0.0518463272604551	0.000483870967741936	0.000483870967741936	
Nordsjo	811	110	Poisson	Sild2022		38432	0.162691408611336	0.00161290322580645	0.00161290322580645	
Nordsjo	811	110	Poisson	Sild2022		38429	0.338519898362406	0.00375	0.00375	
Nordsjo	811	110	Poisson	Sild2022		38404	0.162691408611336	0.00161290322580645	0.00161290322580645	
Nordsjo	811	110	Poisson	Sild2022		38413	0.097027756531011	0.00092741935483871	0.00092741935483871	
Nordsjo	811	110	Poisson	Sild2022		38414	0.240689370659604	0.0025	0.0025	
Nordsjo	811	110	Poisson	Sild2022		38405	0.267229615158194	0.00282258064516129	0.00282258064516129	
Nordsjo	811	110	Poisson	Sild2022		38411	0.458713264018625	0.00556451612903226	0.00556451612903226	
Nordsjo	811	110	Poisson	Sild2022		38416	0.116853084910627	0.00112903225806452	0.00112903225806452	
Nordsjo	811	110	Poisson	Sild2022		38427	0.589628784636336	0.00806451612903226	0.00806451612903226	
Nordsjo	811	110	Poisson	Sild2022		38409	0.162691408611336	0.00161290322580645	0.00161290322580645	
Nordsjo	811	110	Poisson	Sild2022		38424	0.347296770955766	0.00387096774193548	0.00387096774193548	
Nordsjo	811	110	Poisson	Sild2022		38421	0.116853084910627	0.00112903225806452	0.00112903225806452	
Nordsjo	811	110	Poisson	Sild2022		38430	0.116853084910627	0.00112903225806452	0.00112903225806452	
Nordsjo	811	110	Poisson	Sild2022		38426	0.233906828422691	0.00241935483870968	0.00241935483870968	
Nordsjo	811	110	Poisson	Sild2022		38407	0.068529393639208	0.000645161290322581	0.000645161290322581	
Nordsjo	811	110	Poisson	Sild2022		38418	0.229685923270579	0.00236952419354839	0.00236952419354839	
Nordsjo	811	110	Poisson	Sild2022		38428	0.143125007547176	0.00140322580645161	0.00140322580645161	
Nordsjo	811	110	Poisson	Sild2022		38420	0.0425447856855458	0.000395161290322581	0.000395161290322581	
Nordsjo	811	110	Poisson	Sild2022		38423	0.463520590962966	0.00564516129032258	0.00564516129032258	
Nordsjo	811	110	Poisson	Sild2022		38410	0.267034025829916	0.00282016129032258	0.00282016129032258	
Nordsjo	811	110	Poisson	Sild2022		38425	0.0930100890906527	0.000887096774193548	0.000887096774193548	
Nordsjo	811	110	Poisson	Sild2022			0.199083079634323	0.00201612903225806	0.00201612903225806	
Nordsjo	811	110	Poisson	Sild2022			0.1700984890555	0.00169354838709677	0.00169354838709677	
Nordsjo	811	110	Poisson	Sild2022			0.1700984890555	0.00169354838709677	0.00169354838709677	
Nordsjo	811	110	Poisson	Sild2022			0.174511532419619	0.00174193548387097	0.00174193548387097	
Nordsjo	811	110	Poisson	Sild2022			0.202634883401628	0.00205645161290323	0.00205645161290323	
Nordsjo	811	110	Poisson	Sild2022			0.068529393639208	0.000645161290322581	0.000645161290322581	
Nordsjo	811	110	Poisson	Sild2022			0.132402285228299	0.00129032258064516	0.00129032258064516	
Nordsjo	811	110	Poisson	Sild2022			0.101027788104015	0.000967741935483871	0.000967741935483871	
Nordsjo	811	110	Poisson	Sild2022			0.0808504995083754	0.000766129032258065	0.000766129032258065	
Nordsjo	811	110	Poisson	Sild2022			0.140074844132902	0.00137096774193548	0.00137096774193548	
Nordsjo	811	110	Poisson	Sild2022			0.0552064585338686	0.000516129032258065	0.000516129032258065	
Nordsjo	811	110	Poisson	Sild2022			0.112922833036567	0.00108870967741935	0.00108870967741935	
Nordsjo	811	110	Poisson	Sild2022			0.386753608156008	0.00443548387096774	0.00443548387096774	
Nordsjo	811	110	Poisson	Sild2022			0.413480846839946	0.00483870967741936	0.00483870967741936	
Nordsjo	811	110	Poisson	Sild2022			0.247412405326388	0.00258064516129032	0.00258064516129032	
Nordsjo	811	110	Poisson	Sild2022			0.0518463272604551	0.000483870967741936	0.000483870967741936	
