Stratum	N	n	SelectionMethod	FrameDescription	Order	SamplingUnitId	InclusionProbability	HTsamplingWeight	SelectionProbability	HHsamplingWeight	SelectionDescription	CountryVessel	VesselLengthGroup	TargetSpecies	TargetStock
Sild2022 Nordsjo	811	71	Poisson	""	3	38401	0.213196915139625	0.0080680146704093	0.00217741935483873	0.00766305544800977	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	46	38433	0.247412405326388	0.00695226189957357	0.00258064516129031	0.00646570303425833	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	5	38440	0.1700984890555	0.0101122346740615	0.00169354838709679	0.00985249986172684	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	71	38445	0.108975250145035	0.0157840962672098	0.00104838709677424	0.015915576699712	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	44	38438	0.641175307024414	0.00268269195676777	0.0092741935483871	0.00179915214866318	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	36	38441	0.233906828422691	0.00735367945703649	0.0024193548387097	0.00689674990320879	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	39	38448	0.267229615158194	0.00643669616488522	0.00282258064516128	0.00591149991703619	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	7	38403	0.0767615148687669	0.0224080496844438	0.000725806451612909	0.0229891663440293	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	66	38435	0.143125007547176	0.0120179964948861	0.00140322580645158	0.0118909481089811	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	67	38436	0.147680162555427	0.0116473046160613	0.00145161290322582	0.0114945831720147	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	70	38443	0.0182839435244132	0.0940757576031566	0.000167741935483856	0.0994723543732134	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	9	38446	0.267229615158194	0.00643669616488522	0.00282258064516128	0.00591149991703619	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	43	38447	0.247412405326388	0.00695226189957357	0.00258064516129031	0.00646570303425833	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	10	38402	0.108975250145035	0.0157840962672098	0.00104838709677424	0.015915576699712	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	48	38434	0.220161129326957	0.00781280439599331	0.00225806451612898	0.00738937489629538	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	27	38442	0.068529393639208	0.0250998257490547	0.000645161290322549	0.0258628121370345	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	32	38444	0.147680162555427	0.0116473046160613	0.00145161290322582	0.0114945831720147	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	68	38437	0.147680162555427	0.0116473046160613	0.00145161290322582	0.0114945831720147	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	61	38439	0.311481476435603	0.00552224118980031	0.00338709677419358	0.00492624993086342	""	NOR	>15m	HER	Nordsjo
Sild2022 Nordsjo	811	71	Poisson	""	31	38431	0.0889747087440887	0.019332188475939	0.000846774193548394	0.0197049997234537	""	NOR	>15m	HER	Nordsjo
