CarValue	Neighbours
00	05,06
01	02,10,11
02	01,03,10,11
03	02,04,10,12,13
04	03,05,12,37,39
05	00,04,06,37,39
06	00,05,07,37
07	06,28,30,37
08	09,28,41,42
09	08,41
10	01,02,03,11,13,14
11	01,02,10,13,14
12	03,04,13,20,27,39
13	03,10,11,12,14,15,16,20
14	10,11,13,15,16
15	13,14,16,17,20,23,24
16	13,14,15,17,18,24
17	15,16,18,24
18	16,17
20	12,13,15,21,22,23,27,39
21	20,22,25,26,27
22	20,21,23,25
23	15,20,22,24
24	15,16,17,23
25	21,22,26
26	21,25,27,38,39,62
27	12,20,21,26,38,39
28	07,08,30,42
30	07,28,31,34,37,42,50,57
31	30,42,43,50,57
34	30,35,36,37,50
35	34,36,38,50,56,62
36	34,35,37,38,39,50
37	04,05,06,07,30,34,36,38,39
38	26,27,35,36,37,39,62
39	04,05,12,20,26,27,36,37,38
40	41,46
41	08,09,40,42,43
42	08,28,30,31,41,43
43	31,41,42,44,47,48,57,58
44	43,45,49
45	44,46,49
46	40,45,49
47	43,48,57,70
48	43,47,49,70
49	44,45,46,48,70
50	30,31,34,35,36,51,56,57,59,62
51	50,52,57,59,70
52	51,53,60,61,70
53	52,54,61,62
54	53,55,62
55	54,56,62
56	35,50,55,59,62
57	30,31,43,47,50,51,58,70
58	43,57
59	50,51,56
60	52,61,70
61	52,53,60,62
62	26,35,38,50,53,54,55,56,61
70	47,48,49,51,52,57,60
